avots,id,nosaukums,url,diena,cves,tips
0day,Easy-File-Sharing-FTP-Server-2-0-Denial-Of-Service-Exploit,Easy File Sharing FTP Server 2.0 Denial Of Service Exploit,,2024-01-04 00:00:00+00:00,,dos
0day,iGalerie-3-0-22-Cross-Site-Scripting-Vulnerability,iGalerie 3.0.22 Cross Site Scripting Vulnerability,,2024-01-08 00:00:00+00:00,,xss
0day,Form-Tools-3-1-1-Cross-Site-Scripting-Vulnerability,Form Tools 3.1.1 Cross Site Scripting Vulnerability,,2024-01-08 00:00:00+00:00,,xss
0day,PluXml-Blog-5-8-9-Remote-Code-Execution-Vulnerability,PluXml Blog 5.8.9 Remote Code Execution Vulnerability,,2024-01-08 00:00:00+00:00,,rce
0day,Linux-6-4-io-uring-Use-After-Free-Exploit,Linux 6.4 io_uring Use-After-Free Exploit,,2024-01-08 00:00:00+00:00,,
0day,Linux-io-uring-io-uaddr-map-Dangerous-Multi-Page-Handling-Exploi,Linux io_uring __io_uaddr_map() Dangerous Multi-Page Handling Exploit,,2024-01-08 00:00:00+00:00,CVE-2023-6560,
0day,Gom-Player-2-3-92-5362-Buffer-Overflow-Exploit,Gom Player 2.3.92.5362 Buffer Overflow Exploit,,2024-01-08 00:00:00+00:00,,overflow
0day,Gom-Player-2-3-92-5362-DLL-Hijacking-Vulnerability,Gom Player 2.3.92.5362 DLL Hijacking Vulnerability,,2024-01-08 00:00:00+00:00,,
0day,FreeSWITCH-Denial-Of-Service-Exploit,FreeSWITCH Denial Of Service Exploit,,2024-01-08 00:00:00+00:00,CVE-2023-51443,dos
0day,Femitter-FTP-Server-1-03-Denial-Of-Service-Exploit,Femitter FTP Server 1.03 Denial Of Service Exploit,,2024-01-08 00:00:00+00:00,,dos
0day,File-Sharing-Wizard-1-5-0-Denial-Of-Service-Exploit,File Sharing Wizard 1.5.0 Denial Of Service Exploit,,2024-01-08 00:00:00+00:00,,dos
0day,httpdx-1-5-4-Denial-Of-Service-Exploit,httpdx 1.5.4 Denial Of Service Exploit,,2024-01-08 00:00:00+00:00,,dos
0day,Themebleed-Windows-11-Themes-Arbitrary-Code-Execution-Exploit,Themebleed Windows 11 Themes Arbitrary Code Execution Exploit,,2024-01-08 00:00:00+00:00,CVE-2023-38146,rce
0day,Intrasrv-Simple-Web-Server-1-0-Denial-Of-Service-Exploit,Intrasrv Simple Web Server 1.0 Denial Of Service Exploit,,2024-01-09 00:00:00+00:00,,dos
0day,Microsoft-SQL-Server-db-ddladmin-Privilege-Escalation-Vulnerabil,Microsoft SQL Server db_ddladmin Privilege Escalation Vulnerability,,2024-01-09 00:00:00+00:00,,priv_esc
0day,AdvantechWeb-SCADA-9-1-5U-SQL-Injection-Vulnerability,AdvantechWeb / SCADA 9.1.5U SQL Injection Vulnerability,,2024-01-09 00:00:00+00:00,,sqli
0day,liveSite-2019-1-Remote-Code-Execution-Vulnerability,liveSite 2019.1 Remote Code Execution Vulnerability,,2024-01-09 00:00:00+00:00,,rce
0day,cpio-2-13-Privilege-Escalation-Vulnerability,cpio 2.13 Privilege Escalation Vulnerability,,2024-01-09 00:00:00+00:00,,priv_esc
0day,PSOProxy-0-5-Denial-Of-Service-Exploit,PSOProxy 0.5 Denial Of Service Exploit,,2024-01-11 00:00:00+00:00,,dos
0day,Android-DeviceVersionFragment-java-Privilege-Escalation-Exploit,Android DeviceVersionFragment.java Privilege Escalation Exploit,,2024-01-11 00:00:00+00:00,CVE-2023-48418,priv_esc
0day,SimpleWebServer-2-2-rc2-Denial-Of-Service-Exploit,SimpleWebServer 2.2-rc2 Denial Of Service Exploit,,2024-01-15 00:00:00+00:00,,dos
0day,Quick-TFTP-Server-Pro-2-1-Denial-Of-Service-Exploit,Quick TFTP Server Pro 2.1 Denial Of Service Exploit,,2024-01-15 00:00:00+00:00,,dos
0day,ProSSHD-1-2-20090726-Denial-Of-Service-Exploit,ProSSHD 1.2 20090726 Denial Of Service Exploit,,2024-01-15 00:00:00+00:00,,dos
0day,freeSSHd-1-0-9-Denial-Of-Service-Exploit,freeSSHd 1.0.9 Denial Of Service Exploit,,2024-01-15 00:00:00+00:00,,dos
0day,HaoKeKeJi-YiQiNiu-Server-Side-Request-Forgery-Vulnerability,HaoKeKeJi YiQiNiu Server Side Request Forgery Vulnerability,,2024-01-15 00:00:00+00:00,,
0day,Xitami-2-5-Denial-Of-Service-Exploit,Xitami 2.5 Denial Of Service Exploit,,2024-01-15 00:00:00+00:00,,dos
0day,Taokeyun-SQL-Injection-Vulnerability,Taokeyun SQL Injection Vulnerability,,2024-01-15 00:00:00+00:00,CVE-2024-0480,sqli
0day,WordPress-RSVPMaker-9-3-2-SQL-Injection-Vulnerability,WordPress RSVPMaker 9.3.2 SQL Injection Vulnerability,,2024-01-15 00:00:00+00:00,CVE-2022-1768,sqli
0day,Korenix-JetNet-Series-Unauthenticated-Access-Exploit,Korenix JetNet Series Unauthenticated Access Exploit,,2024-01-16 00:00:00+00:00,"CVE-2023-5347,CVE-2023-5376",
0day,MailCarrier-2-51-Denial-Of-Service-Exploit,MailCarrier 2.51 Denial Of Service Exploit,,2024-01-16 00:00:00+00:00,,dos
0day,LightFTP-1-1-Denial-Of-Service-Exploit,LightFTP 1.1 Denial Of Service Exploit,,2024-01-16 00:00:00+00:00,,dos
0day,Easy-File-Sharing-FTP-3-6-Denial-Of-Service-Exploit,Easy File Sharing FTP 3.6 Denial Of Service Exploit,,2024-01-17 00:00:00+00:00,,dos
0day,MiniWeb-HTTP-Server-0-8-1-Denial-Of-Service-Exploit,MiniWeb HTTP Server 0.8.1 Denial Of Service Exploit,,2024-01-21 00:00:00+00:00,,dos
0day,Firefox-121-Chrome-120-Denial-Of-Service-Exploit,Firefox 121 / Chrome 120 Denial Of Service Exploit,,2024-01-21 00:00:00+00:00,,dos
0day,SpyCamLizard-1-230-Denial-Of-Service-Exploit,SpyCamLizard 1.230 Denial Of Service Exploit,,2024-01-21 00:00:00+00:00,,dos
0day,Linux-5-6-io-uring-Cred-Refcount-Overflow-Exploit,Linux 5.6 io_uring Cred Refcount Overflow Exploit,,2024-01-21 00:00:00+00:00,,
0day,Ansible-Agent-Payload-Deployer-Exploit,Ansible Agent Payload Deployer Exploit,,2024-01-21 00:00:00+00:00,,
0day,Lepton-CMS-7-0-0-Remote-Code-Execution-Vulnerability,Lepton CMS 7.0.0 Remote Code Execution Vulnerability,,2024-01-21 00:00:00+00:00,,rce
0day,WordPress-Backup-Migration-1-3-7-Remote-Command-Execution-Exploi,WordPress Backup Migration 1.3.7 Remote Command Execution Exploit,,2024-01-21 00:00:00+00:00,CVE-2023-6553,
0day,Apache-Commons-Text-1-9-Remote-Code-Execution-Exploit,Apache Commons Text 1.9 Remote Code Execution Exploit,,2024-01-21 00:00:00+00:00,CVE-2022-42889,rce
0day,ProSysInfo-TFTP-Server-TFTPDWIN-0-4-2-Denial-Of-Service-Exploit,ProSysInfo TFTP Server TFTPDWIN 0.4.2 Denial Of Service Exploit,,2024-01-22 00:00:00+00:00,,dos
0day,Golden-FTP-Server-2-02b-Denial-Of-Service-Exploit,Golden FTP Server 2.02b Denial Of Service Exploit,,2024-01-22 00:00:00+00:00,,dos
0day,EzServer-6-4-017-Denial-Of-Service-Exploit,EzServer 6.4.017 Denial Of Service Exploit,,2024-01-22 00:00:00+00:00,,dos
0day,xbtitFM-4-1-18-SQL-Injection-Shell-Upload-Traversal-Vulnerabilit,xbtitFM 4.1.18 SQL Injection / Shell Upload / Traversal Vulnerabilities,,2024-01-22 00:00:00+00:00,,sqli
0day,Traceroute-2-1-2-Privilege-Escalation-Vulnerability,Traceroute 2.1.2 Privilege Escalation Vulnerability,,2024-01-22 00:00:00+00:00,CVE-2023-46316,priv_esc
0day,Ivanti-Connect-Secure-Unauthenticated-Remote-Code-Execution-Expl,Ivanti Connect Secure Unauthenticated Remote Code Execution Exploit,,2024-01-22 00:00:00+00:00,"CVE-2023-46805,CVE-2024-21887",rce
0day,MajorDoMo-Command-Injection-Exploit,MajorDoMo Command Injection Exploit,,2024-01-22 00:00:00+00:00,CVE-2023-50917,
0day,PRTG-Authenticated-Remote-Code-Execution-Exploit,PRTG Authenticated Remote Code Execution Exploit,,2024-01-24 00:00:00+00:00,CVE-2023-32781,rce
0day,Saltstack-Minion-Payload-Deployer-Exploit,Saltstack Minion Payload Deployer Exploit,,2024-01-24 00:00:00+00:00,,
0day,GL-iNet-Unauthenticated-Remote-Command-Execution-Exploit,GL.iNet Unauthenticated Remote Command Execution Exploit,,2024-01-24 00:00:00+00:00,"CVE-2023-50445,CVE-2023-50919",
0day,7-Sticky-Notes-v1-9-OS-Command-Injection-Vulnerability,7 Sticky Notes v1.9 - OS Command Injection Vulnerability,,2024-01-29 00:00:00+00:00,,
0day,Blood-Bank-Donor-Management-System-using-v2-2-Stored-XSS-Vulnera,Blood Bank & Donor Management System using v2.2 - Stored XSS Vulnerability,,2024-01-29 00:00:00+00:00,,xss
0day,Bank-Locker-Management-System-SQL-Injection-Vulnerability,Bank Locker Management System - SQL Injection Vulnerability,,2024-01-29 00:00:00+00:00,,sqli
0day,Typora-v1-7-4-OS-Command-Injection-Vulnerability,Typora v1.7.4 - OS Command Injection Vulnerability,,2024-01-29 00:00:00+00:00,,
0day,Ricoh-Printer-Directory-and-File-Exposure-Exploit,Ricoh Printer - Directory and File Exposure Exploit,,2024-01-29 00:00:00+00:00,,
0day,Reprise-License-Manager-15-1-Privilege-Escalation-File-Write-Vul,Reprise License Manager 15.1 Privilege Escalation / File Write Vulnerabilities,,2024-01-29 00:00:00+00:00,CVE-2023-43183,priv_esc
0day,Jenkins-2-441-LTS-2-426-3-Arbitrary-File-Read-Exploit,Jenkins 2.441 / LTS 2.426.3 Arbitrary File Read Exploit,,2024-01-29 00:00:00+00:00,CVE-2024-23897,
0day,CSZCMS-1-3-0-SQL-Injection-Vulnerability,CSZCMS 1.3.0 SQL Injection Vulnerability,,2024-01-29 00:00:00+00:00,,sqli
0day,Chrome-121-Javascript-Fork-Malloc-Bomb-Exploit,Chrome 121 Javascript Fork Malloc Bomb Exploit,,2024-01-29 00:00:00+00:00,,
0day,CloudLinux-CageFS-7-0-8-2-Insufficiently-Restricted-Proxy-Comman,CloudLinux CageFS 7.0.8-2 Insufficiently Restricted Proxy Command Vulnerability,,2024-01-29 00:00:00+00:00,CVE-2020-36772,
0day,Atlassian-Confluence-SSTI-Injection-Exploit,Atlassian Confluence SSTI Injection Exploit,,2024-01-29 00:00:00+00:00,CVE-2023-22527,
0day,Vinchin-Backup-And-Recovery-7-2-setNetworkCardInfo-Command-Injec,Vinchin Backup And Recovery 7.2 setNetworkCardInfo Command Injection Vulnerability,,2024-01-29 00:00:00+00:00,CVE-2024-22900,
0day,Vinchin-Backup-And-Recovery-7-2-syncNtpTime-Command-Injection-Vu,Vinchin Backup And Recovery 7.2 syncNtpTime Command Injection Vulnerability,,2024-01-29 00:00:00+00:00,CVE-2024-22899,
0day,Vinchin-Backup-And-Recovery-7-2-Default-Root-Credentials-Vulnera,Vinchin Backup And Recovery 7.2 Default Root Credentials Vulnerability,,2024-01-29 00:00:00+00:00,CVE-2024-22902,
0day,Vinchin-Backup-And-Recovery-7-2-SystemHandler-class-php-Command-,Vinchin Backup And Recovery 7.2 SystemHandler.class.php Command Injection Vulnerability,,2024-01-29 00:00:00+00:00,CVE-2024-22903,
0day,Grocy-4-0-2-CSRF-Vulnerability,Grocy <= 4.0.2 - CSRF Vulnerability,,2024-01-31 00:00:00+00:00,CVE-2023-42270,csrf
0day,Proxmox-VE-TOTP-Brute-Force-Exploit,Proxmox VE - TOTP Brute Force Exploit,,2024-01-31 00:00:00+00:00,CVE-2023-43320,rce
0day,XenForo-2-2-13-ArchiveImport-php-Zip-Slip-Vulnerability,XenForo 2.2.13 ArchiveImport.php Zip Slip Vulnerability,,2024-01-31 00:00:00+00:00,,
0day,RoyalTSX-6-0-1-RTSZ-File-Handling-Heap-Memory-Corruption-PoC,RoyalTSX 6.0.1 - RTSZ File Handling Heap Memory Corruption PoC,,2024-01-31 00:00:00+00:00,,
0day,TELSAT-marKoni-FM-Transmitter-1-9-5-Insecure-Access-Control-Vuln,TELSAT marKoni FM Transmitter 1.9.5 Insecure Access Control Vulnerability,,2024-01-31 00:00:00+00:00,,
0day,TELSAT-marKoni-FM-Transmitter-1-9-5-Backdoor-Account-Vulnerabili,TELSAT marKoni FM Transmitter 1.9.5 Backdoor Account Vulnerability,,2024-01-31 00:00:00+00:00,,
0day,TELSAT-marKoni-FM-Transmitter-1-9-5-Client-Side-Access-Control-B,TELSAT marKoni FM Transmitter 1.9.5 Client-Side Access Control Bypass Vulnerability,,2024-01-31 00:00:00+00:00,,
0day,TELSAT-marKoni-FM-Transmitter-1-9-5-Root-Command-Injection-Explo,TELSAT marKoni FM Transmitter 1.9.5 Root Command Injection Exploit,,2024-01-31 00:00:00+00:00,,
0day,glibc-syslog-Heap-Based-Buffer-Overflow-Exploit,glibc syslog() Heap-Based Buffer Overflow Exploit,,2024-01-31 00:00:00+00:00,CVE-2023-6246,overflow
0day,glibc-qsort-Out-Of-Bounds-Read-Write-Exploit,glibc qsort() Out-Of-Bounds Read / Write Exploit,,2024-01-31 00:00:00+00:00,CVE-2023-6246,
0day,Mirth-Connect-4-4-0-Remote-Command-Execution-Exploit,Mirth Connect 4.4.0 Remote Command Execution Exploit,,2024-01-31 00:00:00+00:00,"CVE-2023-37679,CVE-2023-43208",
0day,Apache-Tomcat-8-5-63-9-0-43-HTTP-Response-Smuggling-Vulnerabilit,Apache Tomcat 8.5.63 / 9.0.43 HTTP Response Smuggling Vulnerability,,2024-02-01 00:00:00+00:00,CVE-2024-21733,
0day,runc-1-1-11-File-Descriptor-Leak-Privilege-Escalation-Exploit,runc 1.1.11 File Descriptor Leak Privilege Escalation Exploit,,2024-02-05 00:00:00+00:00,CVE-2024-21626,priv_esc
0day,SISQUAL-WFM-7-1-319-103-Host-Header-Injection-Vulnerability,SISQUAL WFM 7.1.319.103 Host Header Injection Vulnerability,,2024-02-05 00:00:00+00:00,CVE-2023-36085,
0day,Milesight-UR5X-UR32L-UR32-UR35-UR41-Credential-Leakage-Exploit,Milesight UR5X / UR32L / UR32 / UR35 / UR41 Credential Leakage Exploit,,2024-02-05 00:00:00+00:00,CVE-2023-43261,info
0day,Bank-Locker-Management-System-SQL-Injection-Vulnerability,Bank Locker Management System SQL Injection Vulnerability,,2024-02-05 00:00:00+00:00,,sqli
0day,WebCatalog-48-4-Arbitrary-Protocol-Execution-Code-Execution-Vuln,WebCatalog 48.4 Arbitrary Protocol Execution / Code Execution Vulnerability,,2024-02-05 00:00:00+00:00,CVE-2023-42222,rce
0day,mooSocial-3-1-8-Cross-Site-Scripting-XSS-on-User-Login-Page-Vuln,mooSocial 3.1.8 - Cross-Site Scripting (XSS) on User Login Page Vulnerability,,2024-02-05 00:00:00+00:00,CVE-2023-43325,xss
0day,TP-Link-TL-WR740N-UnAuthenticated-Directory-Transversal-Vulnerab,TP-Link TL-WR740N - UnAuthenticated Directory Transversal Vulnerability,,2024-02-05 00:00:00+00:00,,
0day,TP-LINK-TL-WR740N-Multiple-HTML-Injection-Vulnerability,TP-LINK TL-WR740N - Multiple HTML Injection Vulnerability,,2024-02-05 00:00:00+00:00,,
0day,PCMan-FTP-Server-2-0-pwd-Remote-Buffer-Overflow-Vulnerability,PCMan FTP Server 2.0 - (pwd) Remote Buffer Overflow Vulnerability,,2024-02-05 00:00:00+00:00,,overflow
0day,Juniper-SRX-Firewalls-EX-switches-PreAuth-Remote-Code-Execution-,Juniper SRX Firewalls&EX switches - PreAuth Remote Code Execution Exploit,,2024-02-05 00:00:00+00:00,,rce
0day,GYM-MS-GYM-Management-System-Cross-Site-Scripting-Vulnerability,GYM MS - GYM Management System - Cross Site Scripting Vulnerability,,2024-02-05 00:00:00+00:00,,xss
0day,Curfew-e-Pass-Management-System-1-0-FromDate-SQL-Injection-Vulne,Curfew e-Pass Management System 1.0 - FromDate SQL Injection Vulnerability,,2024-02-05 00:00:00+00:00,,sqli
0day,Clinics-Patient-Management-System-1-0-Unauthenticated-Code-Execu,Clinics Patient Management System 1.0 - Unauthenticated Code Execution Vulnerability,,2024-02-05 00:00:00+00:00,,rce
0day,MISP-2-4-171-Stored-XSS-Vulnerability,MISP 2.4.171 - Stored XSS Vulnerability,,2024-02-05 00:00:00+00:00,,xss
0day,WhatsUp-Gold-2022-22-1-0-Build-39-XSS-Vulnerability,WhatsUp Gold 2022 (22.1.0 Build 39) - XSS Vulnerability,,2024-02-05 00:00:00+00:00,CVE-2023-35759,xss
0day,Wordpress-simple-urls-Plugin-115-XSS-Vulnerability,Wordpress (simple urls) Plugin < 115 - XSS Vulnerability,,2024-02-05 00:00:00+00:00,CVE-2023-0099,xss
0day,Cacti-pollers-php-SQL-Injection-Remote-Code-Execution-Exploit,Cacti pollers.php SQL Injection / Remote Code Execution Exploit,,2024-02-05 00:00:00+00:00,"CVE-2023-49084,CVE-2023-49085",rce
0day,KiTTY-0-76-1-13-Command-Injection-Exploit,KiTTY 0.76.1.13 Command Injection Exploit,,2024-02-08 00:00:00+00:00,CVE-2024-23749,
0day,Advanced-Page-Visit-Counter-1-0-Admin-Stored-Cross-Site-Scriptin,Advanced Page Visit Counter 1.0 - Admin+ Stored Cross-Site Scripting Vulnerability,,2024-02-11 00:00:00+00:00,,
0day,Zyxel-zysh-Format-string-Exploit,Zyxel zysh - Format string Exploit,,2024-02-11 00:00:00+00:00,,
0day,Elasticsearch-StackOverflow-DoS-Exploit,Elasticsearch - StackOverflow DoS Exploit,,2024-02-11 00:00:00+00:00,CVE-2023-31419,dos
0day,Wordpress-Augmented-Reality-Remote-Code-Execution-Unauthenticate,Wordpress Augmented-Reality - Remote Code Execution Unauthenticated Exploit,,2024-02-11 00:00:00+00:00,,rce
0day,Wordpress-Seotheme-Remote-Code-Execution-Unauthenticated-Exploit,Wordpress Seotheme - Remote Code Execution Unauthenticated Exploit,,2024-02-11 00:00:00+00:00,,rce
0day,Rail-Pass-Management-System-1-0-Time-Based-SQL-Injection-Vulnera,Rail Pass Management System 1.0 - Time-Based SQL Injection Vulnerability,,2024-02-11 00:00:00+00:00,,sqli
0day,Online-Nurse-Hiring-System-1-0-Time-Based-SQL-Injection-Vulnerab,Online Nurse Hiring System 1.0 - Time-Based SQL Injection Vulnerability,,2024-02-11 00:00:00+00:00,,sqli
0day,LaborOfficeFree-19-10-MySQL-Root-Password-Calculator-Exploit,LaborOfficeFree 19.10 MySQL Root Password Calculator Exploit,,2024-02-12 00:00:00+00:00,CVE-2024-1346,
0day,Windows-Defender-Detection-Mitigation-Bypass-Vulnerability,Windows Defender Detection Mitigation Bypass Vulnerability,,2024-02-12 00:00:00+00:00,,
0day,WyreStorm-Apollo-VX20-Incorrect-Access-Control-Vulnerability,WyreStorm Apollo VX20 Incorrect Access Control Vulnerability,,2024-02-12 00:00:00+00:00,CVE-2024-25736,
0day,WyreStorm-Apollo-VX20-Credential-Disclosure-Vulnerability,WyreStorm Apollo VX20 Credential Disclosure Vulnerability,,2024-02-12 00:00:00+00:00,CVE-2024-25735,
0day,IBM-i-Access-Client-Solutions-Remote-Credential-Theft-Vulnerabil,IBM i Access Client Solutions Remote Credential Theft Vulnerability,,2024-02-12 00:00:00+00:00,CVE-2024-22318,
0day,WyreStorm-Apollo-VX20-Account-Enumeration-Vulnerability,WyreStorm Apollo VX20 Account Enumeration Vulnerability,,2024-02-12 00:00:00+00:00,CVE-2024-25734,
0day,Complaint-Management-System-2-0-SQL-Injection-Vulnerability,Complaint Management System 2.0 SQL Injection Vulnerability,,2024-02-12 00:00:00+00:00,,sqli
0day,SCHLIX-2-2-8-1-Denial-Of-Service-Exploit,SCHLIX 2.2.8-1 Denial Of Service Exploit,,2024-02-12 00:00:00+00:00,,dos
0day,Online-Nurse-Hiring-System-1-0-Time-Based-SQL-Injection-Vulnerab,Online Nurse Hiring System 1.0 - Time-Based SQL Injection Vulnerability,,2024-02-13 00:00:00+00:00,,sqli
0day,VIMESA-VHF-FM-Transmitter-Blue-Plus-9-7-1-doreboot-Denial-Of-Ser,VIMESA VHF/FM Transmitter Blue Plus 9.7.1 (doreboot) - Denial Of Service Exploit,,2024-02-13 00:00:00+00:00,,dos
0day,Splunk-9-0-4-Information-Disclosure-Vulnerability,Splunk 9.0.4 - Information Disclosure Vulnerability,,2024-02-13 00:00:00+00:00,,info
0day,ManageEngine-ADManager-Plus-Build-7183-Recovery-Password-Disclos,ManageEngine ADManager Plus Build < 7183 - Recovery Password Disclosure Exploit,,2024-02-13 00:00:00+00:00,CVE-2023-31492,
0day,Lost-and-Found-Information-System-v1-0-IDOR-leads-to-Account-Tak,Lost and Found Information System v1.0 - ( IDOR ) leads to Account Take over Exploit,,2024-02-13 00:00:00+00:00,CVE-2023-38965,
0day,Adapt-CMS-3-0-3-Cross-Site-Scripting-Shell-Upload-Vulnerabilitie,Adapt CMS 3.0.3 Cross Site Scripting / Shell Upload Vulnerabilities,,2024-02-15 00:00:00+00:00,,xss
0day,SISQUALWFM-7-1-319-103-Host-Header-Injection-Vulnerability,SISQUALWFM 7.1.319.103 - Host Header Injection Vulnerability,,2024-02-17 00:00:00+00:00,,
0day,Metabase-0-46-6-Pre-Auth-Remote-Code-Execution-Exploit,Metabase 0.46.6 - Pre-Auth Remote Code Execution Exploit,,2024-02-17 00:00:00+00:00,CVE-2023-38646,rce
0day,DS-Wireless-Communication-Remote-Code-Execution-Exploit,DS Wireless Communication - Remote Code Execution Exploit,,2024-02-17 00:00:00+00:00,CVE-2023-45887,rce
0day,phpFox-4-8-13-redirect-PHP-Object-Injection-Exploit,phpFox < 4.8.13 - (redirect) PHP Object Injection Exploit,,2024-02-19 00:00:00+00:00,,
0day,XAMPP-Buffer-Overflow-Exploit,XAMPP - Buffer Overflow Exploit,,2024-02-19 00:00:00+00:00,,overflow
0day,Microsoft-Windows-Defender-Bypass-Detection-Mitigation-Bypass-Vu,Microsoft Windows Defender Bypass - Detection Mitigation Bypass Vulnerability,,2024-02-19 00:00:00+00:00,,
0day,Microsoft-Windows-Defender-VBScript-Detection-Bypass-Vulnerabili,Microsoft Windows Defender - VBScript Detection Bypass Vulnerability,,2024-02-19 00:00:00+00:00,,
0day,Employee-Management-System-v1-email-SQL-Injection-Vulnerability,Employee Management System v1 - (email) SQL Injection Vulnerability,,2024-02-19 00:00:00+00:00,,sqli
0day,SureMDM-On-premise-6-31-CAPTCHA-Bypass-User-Enumeration-Exploit,SureMDM On-premise < 6.31 - CAPTCHA Bypass User Enumeration Exploit,,2024-02-19 00:00:00+00:00,CVE-2023-3897,
0day,JFrog-Artifactory-7-25-4-Blind-SQL-Injection-Exploit,JFrog Artifactory < 7.25.4 - Blind SQL Injection Exploit,,2024-02-19 00:00:00+00:00,,sqli
0day,Wondercms-4-3-2-XSS-to-Remote-Code-Execute-Exploit,Wondercms 4.3.2 - XSS to Remote Code Execute Exploit,,2024-02-19 00:00:00+00:00,,xss
0day,Petrol-Pump-Management-Software-1-0-Shell-Upload-Vulnerability,Petrol Pump Management Software 1.0 Shell Upload Vulnerability,,2024-02-20 00:00:00+00:00,,
0day,Tourism-Management-System-2-0-Shell-Upload-Vulnerability,Tourism Management System 2.0 Shell Upload Vulnerability,,2024-02-20 00:00:00+00:00,,
0day,Kafka-UI-0-7-1-Command-Injection-Exploit,Kafka UI 0.7.1 Command Injection Exploit,,2024-02-20 00:00:00+00:00,CVE-2023-52251,
0day,OpenOLAT-18-1-5-Cross-Site-Scripting-Privilege-Escalation-Vulner,OpenOLAT 18.1.5 Cross Site Scripting / Privilege Escalation Vulnerabilities,,2024-02-21 00:00:00+00:00,"CVE-2024-25973,CVE-2024-25974",priv_esc
0day,WEBIGniter-v28-7-23-Stored-Cross-Site-Scripting-Vulnerability,WEBIGniter v28.7.23 - Stored Cross Site Scripting Vulnerability,,2024-02-21 00:00:00+00:00,,xss
